sk_os,id_os,sk_tempo,sk_concessionaria,sk_veiculo,sk_servico,sk_cliente,vlr_mao_obra,vlr_pecas_sellout,vlr_pecas_sellin,vlr_total_os,margem_bruta_pecas,tempo_atendimento_h,csat,retornou_30d,status_os
1,OS000001,371,3,75,4,2849,520.82,553.9,362.89,1074.72,191.01,6,4,True,Concluída
2,OS000002,513,3,25,3,964,137.74,132.73,74.04,270.47,58.69,4,5,False,Concluída
3,OS000003,549,11,75,3,2889,157.31,186.91,129.98,344.22,56.93,2,4,False,Concluída
4,OS000004,190,9,41,6,1641,1826.34,1393.0,963.68,3219.34,429.32,3,5,False,Concluída
5,OS000005,648,19,55,11,2618,224.04,127.17,75.72,351.21,51.45,2,5,False,Concluída
6,OS000006,336,10,69,6,3541,2444.65,1312.56,884.6,3757.21,427.96,3,1,False,Concluída
7,OS000007,154,21,57,2,944,180.09,110.93,78.46,291.02,32.47,4,5,False,Concluída
8,OS000008,642,6,83,1,1857,555.38,596.63,406.85,1152.01,189.78,4,4,False,Concluída
9,OS000009,310,22,3,6,2905,3018.87,3151.81,1948.44,6170.68,1203.37,2,4,False,Concluída
10,OS000010,553,6,8,1,4000,413.29,477.07,333.46,890.36,143.61,6,2,False,Concluída
11,OS000011,406,1,48,12,721,324.42,259.34,181.64,583.76,77.7,8,5,False,Concluída
12,OS000012,287,22,59,6,1982,1185.75,606.75,410.56,1792.5,196.19,5,5,False,Concluída
13,OS000013,601,1,36,10,363,349.4,259.52,168.48,608.92,91.04,6,4,False,Concluída
14,OS000014,429,22,55,6,3214,1392.17,1667.86,1061.79,3060.03,606.07,2,5,False,Concluída
15,OS000015,292,22,79,1,186,576.73,627.99,361.71,1204.72,266.28,3,4,False,Concluída
16,OS000016,78,19,77,5,3246,1033.66,762.56,427.64,1796.22,334.92,7,5,False,Concluída
17,OS000017,661,3,41,4,3413,538.36,416.93,247.13,955.29,169.8,1,5,False,Concluída
18,OS000018,32,6,74,6,3395,2636.77,1296.35,907.98,3933.12,388.37,5,5,False,Concluída
19,OS000019,640,2,59,8,2033,1199.18,806.02,483.53,2005.2,322.49,3,4,False,Concluída
20,OS000020,272,15,34,1,3172,486.12,565.38,395.14,1051.5,170.24,5,5,False,Concluída
21,OS000021,463,12,30,2,3009,246.35,248.71,158.26,495.06,90.45,2,1,False,Concluída
22,OS000022,678,21,62,2,3690,233.17,148.94,98.1,382.11,50.84,4,5,False,Concluída
23,OS000023,107,10,70,9,1809,1119.65,1130.86,725.67,2250.51,405.19,1,5,False,Concluída
24,OS000024,418,19,55,6,2518,2417.15,1911.69,1087.79,4328.84,823.9,6,3,False,Concluída
25,OS000025,565,21,81,10,1135,375.74,400.29,241.09,776.03,159.2,1,2,False,Concluída
26,OS000026,559,13,22,9,3239,1418.96,1211.63,682.62,2630.59,529.01,8,5,False,Concluída
27,OS000027,389,3,22,4,2612,626.41,740.66,474.44,1367.07,266.22,3,1,False,Concluída
28,OS000028,453,18,82,9,2103,1036.53,808.73,520.39,1845.26,288.34,5,5,False,Concluída
29,OS000029,559,20,13,9,3679,2394.09,2119.43,1513.15,4513.52,606.28,4,4,False,Concluída
30,OS000030,624,5,82,1,2419,563.88,405.54,269.35,969.42,136.19,6,1,False,Concluída
31,OS000031,562,22,23,9,2810,2089.54,1701.01,970.55,3790.55,730.46,4,5,False,Concluída
32,OS000032,268,13,18,5,1739,451.22,188.08,121.15,639.3,66.93,4,4,False,Concluída
33,OS000033,729,14,74,10,3396,201.44,194.65,109.01,396.09,85.64,2,3,False,Concluída
34,OS000034,320,15,66,10,2021,381.08,414.5,232.97,795.58,181.53,4,5,False,Concluída
35,OS000035,22,18,14,11,1920,205.7,162.16,104.05,367.86,58.11,8,1,False,Concluída
36,OS000036,274,14,32,7,1299,0.0,0.0,0.0,0.0,0.0,7,4,False,Concluída
37,OS000037,89,19,30,5,3062,552.33,263.76,164.4,816.09,99.36,7,5,False,Concluída
38,OS000038,85,3,19,2,3807,173.44,189.24,105.82,362.68,83.42,2,5,False,Concluída
39,OS000039,214,22,69,5,667,448.49,440.67,302.34,889.16,138.33,2,5,False,Concluída
40,OS000040,44,1,48,1,1009,424.6,234.45,146.83,659.05,87.62,7,2,False,Concluída
41,OS000041,502,23,74,1,2322,405.05,311.93,217.93,716.98,94.0,2,5,False,Concluída
42,OS000042,57,24,5,2,1895,177.61,193.43,124.48,371.04,68.95,1,4,False,Concluída
43,OS000043,148,7,78,4,2922,560.86,466.9,257.97,1027.76,208.93,2,4,False,Concluída
44,OS000044,68,20,39,10,2613,385.27,415.69,240.38,800.96,175.31,8,4,False,Concluída
45,OS000045,50,7,43,12,1038,418.48,456.86,321.36,875.34,135.5,3,5,False,Concluída
46,OS000046,202,17,19,9,1157,1888.51,2244.02,1335.38,4132.53,908.64,8,4,False,Concluída
47,OS000047,421,15,75,6,2903,1570.17,1503.08,1013.36,3073.25,489.72,8,3,False,Concluída
48,OS000048,705,13,39,11,3563,180.96,115.34,82.43,296.3,32.91,1,5,False,Concluída
49,OS000049,648,24,59,9,3365,3143.12,1400.99,909.68,4544.11,491.31,3,5,False,Concluída
50,OS000050,648,15,52,5,298,445.5,359.19,249.54,804.69,109.65,2,4,False,Concluída
51,OS000051,127,3,50,9,3632,2623.12,2466.18,1455.01,5089.3,1011.17,2,5,True,Concluída
52,OS000052,200,25,75,1,1434,632.48,541.24,350.95,1173.72,190.29,1,5,False,Concluída
53,OS000053,58,17,10,1,3915,535.81,394.02,255.81,929.83,138.21,6,4,False,Cancelada
54,OS000054,576,16,83,6,283,3323.71,1872.6,1257.92,5196.31,614.68,4,5,False,Concluída
55,OS000055,54,22,15,2,2004,154.53,77.99,51.45,232.52,26.54,8,5,False,Concluída
56,OS000056,411,1,60,7,974,0.0,0.0,0.0,0.0,0.0,2,5,False,Concluída
57,OS000057,185,24,35,9,615,631.67,566.56,365.83,1198.23,200.73,2,1,False,Concluída
58,OS000058,182,14,35,7,554,0.0,0.0,0.0,0.0,0.0,5,5,False,Concluída
59,OS000059,725,3,1,9,2407,1050.35,713.41,400.72,1763.76,312.69,4,3,False,Concluída
60,OS000060,558,20,47,4,2085,447.81,235.64,163.0,683.45,72.64,5,5,False,Concluída
61,OS000061,621,22,63,7,1134,0.0,0.0,0.0,0.0,0.0,1,5,False,Concluída
62,OS000062,421,4,18,11,488,283.57,239.24,169.48,522.81,69.76,2,3,False,Concluída
63,OS000063,645,24,26,10,924,387.79,196.78,112.09,584.57,84.69,2,5,False,Concluída
64,OS000064,468,9,60,1,1449,572.73,300.32,179.56,873.05,120.76,4,5,True,Concluída
65,OS000065,693,21,18,10,3902,343.52,193.36,127.2,536.88,66.16,5,5,False,Em Aberto
66,OS000066,213,1,63,6,1093,2164.6,1300.7,916.2,3465.3,384.5,1,3,False,Concluída
67,OS000067,435,24,41,9,1441,913.81,675.18,403.11,1588.99,272.07,1,4,False,Concluída
68,OS000068,503,14,82,6,2975,1700.6,858.22,614.97,2558.82,243.25,3,4,False,Concluída
69,OS000069,294,13,43,12,3188,509.43,428.61,266.9,938.04,161.71,1,3,False,Concluída
70,OS000070,651,15,82,7,1336,0.0,0.0,0.0,0.0,0.0,3,5,False,Em Aberto
71,OS000071,716,18,38,10,986,309.12,330.04,214.2,639.16,115.84,3,2,False,Em Aberto
72,OS000072,361,16,27,1,3335,478.94,207.6,127.05,686.54,80.55,1,4,False,Concluída
73,OS000073,292,6,49,4,1914,659.57,374.68,221.97,1034.25,152.71,2,5,False,Concluída
74,OS000074,345,22,56,11,1337,220.74,187.17,130.78,407.91,56.39,3,4,False,Concluída
75,OS000075,633,16,49,7,1826,0.0,0.0,0.0,0.0,0.0,3,4,False,Concluída
76,OS000076,468,11,41,6,3139,3435.76,3602.8,2521.39,7038.56,1081.41,1,3,False,Concluída
77,OS000077,38,7,84,9,1624,1209.83,1378.71,941.67,2588.54,437.04,7,5,False,Concluída
78,OS000078,402,9,60,4,3527,620.89,677.55,466.04,1298.44,211.51,5,4,False,Concluída
79,OS000079,16,1,56,11,174,181.84,174.75,107.48,356.59,67.27,1,4,False,Concluída
80,OS000080,576,10,76,11,2204,321.72,185.94,128.08,507.66,57.86,8,4,True,Concluída
81,OS000081,250,8,62,3,3117,114.97,121.46,84.79,236.43,36.67,4,5,False,Concluída
82,OS000082,345,11,62,1,1632,357.1,198.01,119.96,555.11,78.05,2,2,False,Concluída
83,OS000083,592,5,42,12,956,588.41,366.76,241.71,955.17,125.05,7,5,False,Concluída
84,OS000084,39,6,28,8,2695,1083.37,1164.55,706.06,2247.92,458.49,1,5,False,Concluída
85,OS000085,113,24,37,1,558,384.6,452.41,262.56,837.01,189.85,5,4,False,Concluída
86,OS000086,297,24,20,5,1673,430.61,377.76,229.97,808.37,147.79,6,4,False,Concluída
87,OS000087,170,12,35,2,3599,176.73,209.85,119.54,386.58,90.31,4,5,False,Concluída
88,OS000088,257,11,54,12,1463,339.15,327.97,180.48,667.12,147.49,4,1,False,Concluída
