sk_recompra,sk_cliente,sk_tempo,sk_veiculo_novo,sk_concessionaria,vlr_veiculo,canal_venda,financiado
1,3365,695,15,20,246952.58,Indicação,True
2,1494,524,10,14,264756.28,Frota,True
3,619,707,50,15,202171.27,Showroom,False
4,254,454,6,12,244288.64,Showroom,False
5,2880,668,25,17,71966.88,Frota,True
6,3155,382,62,13,91700.44,Indicação,True
7,2486,558,13,3,312547.55,Showroom,True
8,1163,609,49,12,138009.79,Indicação,False
9,303,472,2,9,149823.31,Indicação,True
10,3342,694,25,18,284122.09,Showroom,True
11,2833,620,4,3,95135.97,Frota,False
12,2283,720,44,9,213214.84,Indicação,False
13,280,377,82,21,216978.45,Showroom,True
14,2113,692,71,4,287782.01,Showroom,False
15,1040,537,58,18,81705.93,Digital,False
16,1873,396,25,7,152027.72,Showroom,False
17,2286,635,4,10,188324.88,Indicação,True
18,1751,725,72,25,173880.47,Indicação,True
19,587,502,3,20,138734.16,Showroom,False
20,445,527,22,6,291093.49,Indicação,True
21,2095,717,19,10,177678.3,Frota,True
22,3753,459,69,17,348029.21,Digital,False
23,125,731,18,11,115122.01,Showroom,True
24,857,608,45,7,292404.84,Indicação,True
25,1473,525,82,22,326326.51,Digital,True
26,3966,395,65,25,177203.33,Digital,False
27,825,403,32,16,149706.02,Showroom,False
28,207,450,72,15,79818.58,Digital,True
29,1690,412,68,20,230151.28,Digital,False
30,2239,597,14,19,72572.89,Digital,True
31,722,415,75,14,229408.35,Digital,False
32,1516,415,36,2,224528.21,Showroom,True
33,1975,492,50,10,349717.77,Showroom,True
34,1403,530,2,15,267553.71,Indicação,False
35,932,447,80,22,213632.75,Showroom,True
36,870,429,65,15,322389.49,Showroom,True
37,1795,406,59,7,100396.17,Digital,True
38,1411,602,39,8,228437.67,Digital,False
39,3014,703,65,4,294712.5,Digital,False
40,2250,387,7,24,153949.29,Indicação,False
41,2193,502,5,20,201436.28,Indicação,False
42,3382,415,7,3,291401.04,Showroom,True
43,2338,502,71,17,153954.36,Showroom,False
44,2709,450,34,13,285496.65,Showroom,True
45,3884,664,6,3,121975.31,Showroom,True
46,1561,471,80,7,125421.47,Showroom,True
47,2716,529,26,10,90373.52,Showroom,False
48,1700,389,62,9,97364.24,Showroom,False
49,3855,415,25,21,339020.75,Digital,False
50,2865,632,35,6,259421.23,Digital,True
51,628,644,54,9,103066.98,Showroom,True
52,460,367,75,12,100654.37,Showroom,True
53,2445,561,78,5,72494.83,Frota,False
54,126,572,75,5,312223.92,Frota,True
55,3648,606,42,8,138955.03,Showroom,False
56,3795,424,27,24,150731.94,Digital,True
57,362,371,38,17,292329.87,Showroom,True
58,514,501,47,12,304148.26,Digital,True
59,1048,379,21,12,274207.26,Frota,True
