"ano","mes_num","mes_nome","qtd_os","receita_total","sellout_pecas","sellin_pecas","margem_bruta","margem_pct"
2023,1,"Janeiro","866","1161426.02","512674.10","325859.56","186814.54","36.4"
2023,2,"Fevereiro","1116","1459087.38","652626.73","414990.64","237636.09","36.4"
2023,3,"Março","1345","1649183.59","730828.02","462703.63","268124.39","36.7"
2023,4,"Abril","948","1158268.13","525132.29","332791.43","192340.86","36.6"
2023,5,"Maio","954","1120084.92","500459.99","317156.13","183303.86","36.6"
2023,6,"Junho","983","1272120.43","556856.20","349030.04","207826.16","37.3"
2023,7,"Julho","925","1107031.26","491501.64","311667.30","179834.34","36.6"
2023,8,"Agosto","1042","1301675.96","578621.80","368763.25","209858.55","36.3"
2023,9,"Setembro","1121","1331414.27","595326.26","376740.38","218585.88","36.7"
2023,10,"Outubro","1199","1449853.05","638495.82","405672.87","232822.95","36.5"
2023,11,"Novembro","1245","1610282.61","717842.65","455525.06","262317.59","36.5"
2023,12,"Dezembro","1032","1300807.17","573871.38","362172.97","211698.41","36.9"
2024,1,"Janeiro","925","1169083.17","518215.30","331456.30","186759.00","36.0"
2024,2,"Fevereiro","1146","1415468.28","637118.17","405837.65","231280.52","36.3"
2024,3,"Março","1401","1736556.03","764817.99","485200.94","279617.05","36.6"
2024,4,"Abril","1001","1250279.87","550719.91","349760.83","200959.08","36.5"
2024,5,"Maio","1025","1250546.94","556462.35","351987.40","204474.95","36.7"
2024,6,"Junho","925","1133611.82","504016.95","320509.22","183507.73","36.4"
2024,7,"Julho","945","1178364.88","532494.79","338038.32","194456.47","36.5"
2024,8,"Agosto","980","1248286.79","549650.72","349062.40","200588.32","36.5"
2024,9,"Setembro","1082","1251446.34","551215.48","348804.39","202411.09","36.7"
2024,10,"Outubro","1203","1401590.43","624087.01","396878.56","227208.45","36.4"
2024,11,"Novembro","1244","1562609.59","701574.51","444174.00","257400.51","36.7"
2024,12,"Dezembro","1069","1280072.42","573885.86","361637.63","212248.23","37.0"
