"id_concessionaria","nome_concessionaria","regiao","uf","canal","porte","qtd_os","receita_total","ticket_medio","margem_total","csat_medio","tempo_medio_h","retornos_30d","taxa_retrabalho_pct"
"CON012","Concessionária Duarte RS","Sul","RS","Multimarca","Pequeno","1082","1414383.02","1307.19","228697.02","4.16","4.5","80","7.4"
"CON025","Concessionária Porto RO","Norte","RO","Dealer Autorizado","Médio","1102","1366252.79","1239.79","223206.56","4.24","4.5","83","7.5"
"CON013","Concessionária Ribeiro RS","Sul","RS","Dealer Oficial","Pequeno","1054","1361159.52","1291.42","224358.41","4.22","4.4","77","7.3"
"CON004","Concessionária Monteiro RJ","Sudeste","RJ","Dealer Oficial","Médio","1089","1359292.16","1248.20","220573.36","4.20","4.5","87","8.0"
"CON002","Concessionária Duarte SP","Sudeste","SP","Dealer Oficial","Pequeno","1074","1328745.37","1237.19","216712.75","4.23","4.5","81","7.5"
"CON006","Concessionária Aragão MG","Sudeste","MG","Multimarca","Grande","1044","1303999.13","1249.04","206314.97","4.19","4.5","75","7.2"
"CON003","Concessionária Siqueira SP","Sudeste","SP","Dealer Oficial","Pequeno","1004","1293804.98","1288.65","208505.00","4.22","4.5","65","6.5"
"CON008","Concessionária Sampaio ES","Sudeste","ES","Dealer Oficial","Pequeno","997","1286744.06","1290.62","212276.51","4.14","4.4","79","7.9"
"CON016","Concessionária Sampaio MT","Centro-Oeste","MT","Multimarca","Grande","1014","1277927.07","1260.28","204503.31","4.24","4.5","78","7.7"
"CON020","Concessionária Pires CE","Nordeste","CE","Dealer Oficial","Médio","1038","1275529.33","1228.83","206946.48","4.17","4.5","83","8.0"
"CON001","Concessionária Macedo SP","Sudeste","SP","Multimarca","Médio","1013","1269713.88","1253.42","203890.51","4.21","4.6","88","8.7"
"CON010","Concessionária Fernandes PR","Sul","PR","Multimarca","Pequeno","1024","1269228.47","1239.48","206187.00","4.16","4.4","90","8.8"
"CON007","Concessionária Gomes MG","Sudeste","MG","Dealer Oficial","Grande","998","1265853.07","1268.39","206629.46","4.30","4.6","73","7.3"
"CON014","Concessionária Oliveira DF","Centro-Oeste","DF","Multimarca","Médio","1012","1265702.17","1250.69","205961.78","4.17","4.5","88","8.7"
"CON018","Concessionária Silva BA","Nordeste","BA","Dealer Oficial","Médio","1013","1258534.87","1242.38","209994.29","4.21","4.5","92","9.1"
"CON022","Concessionária da Mota PB","Nordeste","PB","Dealer Autorizado","Grande","1056","1254189.42","1187.68","205270.20","4.23","4.5","80","7.6"
"CON011","Concessionária Porto SC","Sul","SC","Multimarca","Grande","1022","1249218.96","1222.33","202525.96","4.18","4.4","71","6.9"
"CON005","Concessionária Ribeiro RJ","Sudeste","RJ","Multimarca","Grande","1024","1243358.54","1214.22","204071.68","4.24","4.5","77","7.5"
"CON024","Concessionária Freitas PA","Norte","PA","Multimarca","Médio","1022","1236748.93","1210.13","199176.97","4.19","4.4","73","7.1"
"CON009","Concessionária Azevedo PR","Sul","PR","Dealer Oficial","Médio","1026","1222597.72","1191.62","200304.27","4.27","4.5","74","7.2"
"CON021","Concessionária Aparecida MA","Nordeste","MA","Dealer Oficial","Médio","991","1217036.68","1228.09","197790.29","4.21","4.5","83","8.4"
"CON019","Concessionária Cunha PE","Nordeste","PE","Dealer Autorizado","Médio","1010","1213299.41","1201.29","195525.15","4.25","4.5","89","8.8"
"CON017","Concessionária da Rosa MS","Centro-Oeste","MS","Dealer Autorizado","Médio","1016","1200165.43","1181.27","197312.51","4.26","4.5","72","7.1"
"CON023","Concessionária Duarte AM","Norte","AM","Dealer Oficial","Médio","1012","1193061.81","1178.91","193872.40","4.24","4.4","67","6.6"
"CON015","Concessionária Cirino GO","Centro-Oeste","GO","Dealer Oficial","Grande","985","1172604.56","1190.46","191468.18","4.14","4.5","69","7.0"
