"sk_cliente","id_cliente","segmento_cliente","canal_aquisicao","uf_cliente","qtd_visitas","primeira_visita","ultima_visita","valor_lifetime","classificacao_retencao"
2790,"CLI02790","PJ - Frota Grande","Showroom","PR","20","2023-02-10","2024-11-23","28278.16","Fiel"
1490,"CLI01490","PF - Varejo","CRM Ativo","SP","16","2023-05-06","2024-09-16","17604.84","Fiel"
3986,"CLI03986","PF - Varejo","Digital","MG","16","2023-02-03","2024-12-07","13758.12","Fiel"
2056,"CLI02056","PF - Premium","Indicação","PR","16","2023-01-22","2024-11-27","13921.45","Fiel"
2176,"CLI02176","PJ - Frota Pequena","Digital","SP","16","2023-01-30","2024-11-26","17444.43","Fiel"
3973,"CLI03973","PF - Varejo","Fidelização","RJ","16","2023-02-20","2024-11-16","20310.23","Fiel"
899,"CLI00899","PJ - Frota Pequena","Showroom","SP","16","2023-02-12","2024-12-23","13832.26","Fiel"
17,"CLI00017","PF - Varejo","Indicação","BA","15","2023-01-28","2024-10-17","19211.40","Fiel"
1911,"CLI01911","PF - Varejo","Recall","BA","15","2023-01-19","2024-11-11","14784.73","Fiel"
881,"CLI00881","PF - Varejo","Indicação","MG","15","2023-03-18","2024-12-18","22503.10","Fiel"
363,"CLI00363","PF - Varejo","Digital","RS","15","2023-04-26","2024-12-11","18259.23","Fiel"
2570,"CLI02570","PJ - Frota Pequena","Indicação","ES","15","2023-01-23","2024-10-23","16318.37","Fiel"
2606,"CLI02606","PJ - Frota Pequena","Digital","RS","15","2023-01-07","2024-11-18","15248.13","Fiel"
1876,"CLI01876","PF - Premium","Recall","PR","15","2023-01-14","2024-12-13","26309.18","Fiel"
2617,"CLI02617","PF - Varejo","Indicação","SP","14","2023-02-01","2024-11-23","16765.49","Fiel"
705,"CLI00705","PJ - Frota Pequena","Fidelização","PE","14","2023-03-09","2024-10-19","17373.86","Fiel"
1621,"CLI01621","PJ - Frota Pequena","Showroom","SC","14","2023-01-07","2024-07-03","13938.30","Fiel"
2357,"CLI02357","PF - Varejo","Digital","RS","14","2023-02-10","2024-12-29","11399.38","Fiel"
1081,"CLI01081","PF - Varejo","Showroom","PR","14","2023-02-24","2024-12-07","18661.99","Fiel"
1952,"CLI01952","PF - Varejo","Indicação","RJ","14","2023-03-09","2024-10-01","23887.08","Fiel"
91,"CLI00091","PJ - Frota Pequena","Digital","SP","14","2023-02-06","2024-11-17","14610.69","Fiel"
1175,"CLI01175","PF - Varejo","Indicação","RJ","14","2023-04-13","2024-11-26","15690.02","Fiel"
495,"CLI00495","PF - Varejo","Fidelização","SP","14","2023-01-23","2024-12-23","14288.12","Fiel"
480,"CLI00480","PF - Varejo","Showroom","BA","14","2023-08-08","2024-12-15","18002.60","Fiel"
2069,"CLI02069","PF - Premium","Indicação","GO","14","2023-03-04","2024-12-31","19836.25","Fiel"
225,"CLI00225","PF - Varejo","Fidelização","CE","14","2023-01-11","2024-11-16","22790.72","Fiel"
3918,"CLI03918","PF - Varejo","Digital","MG","14","2023-03-16","2024-11-23","21292.01","Fiel"
3248,"CLI03248","PF - Varejo","CRM Ativo","RS","13","2023-03-31","2024-11-10","17315.16","Fiel"
3541,"CLI03541","PF - Varejo","Digital","ES","13","2023-02-23","2024-12-11","30436.36","Fiel"
3612,"CLI03612","PF - Varejo","Fidelização","ES","13","2023-02-16","2024-06-01","14641.20","Fiel"
472,"CLI00472","PF - Varejo","Digital","DF","13","2023-02-21","2024-06-22","12444.93","Fiel"
1962,"CLI01962","PF - Varejo","Fidelização","SP","13","2023-01-09","2024-11-25","10843.30","Fiel"
3136,"CLI03136","PJ - Frota Pequena","Showroom","SP","13","2023-01-19","2024-11-09","13015.80","Fiel"
2518,"CLI02518","PJ - Frota Pequena","Fidelização","RJ","13","2023-02-05","2024-08-25","11657.15","Fiel"
827,"CLI00827","PF - Premium","Recall","BA","13","2023-06-01","2024-12-27","16750.90","Fiel"
154,"CLI00154","PF - Varejo","Digital","RJ","13","2023-03-08","2024-11-17","20415.18","Fiel"
3736,"CLI03736","PJ - Frota Pequena","Digital","RJ","13","2023-03-11","2024-12-16","19936.35","Fiel"
3159,"CLI03159","PF - Varejo","Digital","CE","13","2023-01-11","2024-08-01","18333.84","Fiel"
2306,"CLI02306","PJ - Frota Grande","Digital","MG","13","2023-01-14","2024-11-20","19507.30","Fiel"
1957,"CLI01957","PF - Varejo","Digital","BA","13","2023-01-02","2024-11-25","20414.29","Fiel"
3874,"CLI03874","PF - Varejo","Digital","PR","13","2023-03-14","2024-09-24","25911.58","Fiel"
1343,"CLI01343","PF - Premium","Showroom","RJ","13","2023-03-31","2024-10-11","13847.88","Fiel"
3976,"CLI03976","PJ - Frota Pequena","Indicação","DF","13","2023-01-20","2024-10-06","11535.23","Fiel"
2189,"CLI02189","PF - Varejo","Showroom","RJ","13","2023-03-01","2024-10-22","15892.98","Fiel"
3373,"CLI03373","PJ - Frota Pequena","Indicação","PR","13","2023-02-01","2024-10-24","18955.54","Fiel"
2089,"CLI02089","PF - Varejo","Recall","MG","13","2023-01-21","2024-09-10","8863.35","Fiel"
2136,"CLI02136","PF - Premium","Fidelização","SC","13","2023-01-11","2024-12-14","6703.50","Fiel"
3658,"CLI03658","PF - Premium","Digital","GO","13","2023-03-07","2024-07-25","21166.20","Fiel"
534,"CLI00534","PF - Varejo","Digital","BA","13","2023-02-17","2024-09-17","12424.19","Fiel"
3751,"CLI03751","PJ - Frota Pequena","Digital","RS","13","2023-03-14","2024-12-29","13965.52","Fiel"
3975,"CLI03975","PJ - Frota Grande","Indicação","MG","13","2023-03-12","2024-11-13","20668.44","Fiel"
2824,"CLI02824","PF - Varejo","Digital","PE","13","2023-04-02","2024-10-05","15612.27","Fiel"
2333,"CLI02333","PF - Varejo","Indicação","CE","13","2023-01-04","2024-02-06","10556.03","Fiel"
936,"CLI00936","PF - Varejo","Recall","MG","13","2023-03-13","2024-12-22","17999.04","Fiel"
1328,"CLI01328","PF - Varejo","CRM Ativo","PE","13","2023-03-08","2024-08-21","22617.51","Fiel"
1508,"CLI01508","PF - Varejo","Fidelização","MG","13","2023-02-11","2024-09-10","16205.72","Fiel"
248,"CLI00248","PF - Varejo","Showroom","PE","13","2023-01-05","2024-12-24","21438.68","Fiel"
1812,"CLI01812","PF - Varejo","Digital","ES","13","2023-02-16","2024-10-25","21108.86","Fiel"
1889,"CLI01889","PJ - Frota Pequena","Fidelização","BA","13","2023-02-26","2024-11-22","8279.97","Fiel"
2764,"CLI02764","PF - Varejo","Indicação","GO","13","2023-01-04","2024-11-11","8936.96","Fiel"
674,"CLI00674","PJ - Frota Grande","Fidelização","SP","12","2023-03-01","2024-12-12","13670.24","Fiel"
731,"CLI00731","PF - Varejo","Digital","MG","12","2023-03-03","2024-12-30","25486.85","Fiel"
680,"CLI00680","PF - Varejo","Indicação","SP","12","2023-01-09","2024-09-12","16702.62","Fiel"
1753,"CLI01753","PF - Premium","Digital","GO","12","2023-02-03","2024-10-09","12142.10","Fiel"
3408,"CLI03408","PF - Premium","Recall","ES","12","2023-04-11","2024-12-18","21666.21","Fiel"
1772,"CLI01772","PF - Varejo","Showroom","SC","12","2023-02-01","2024-09-09","16337.36","Fiel"
2805,"CLI02805","PJ - Frota Pequena","Indicação","MG","12","2023-03-24","2024-11-08","9679.32","Fiel"
1184,"CLI01184","PJ - Frota Pequena","Digital","ES","12","2023-03-02","2024-12-31","20969.42","Fiel"
1349,"CLI01349","PF - Varejo","Digital","RJ","12","2023-01-21","2024-08-01","9296.28","Fiel"
3146,"CLI03146","PF - Varejo","Recall","SC","12","2023-02-20","2024-12-31","13546.32","Fiel"
2832,"CLI02832","PJ - Frota Pequena","Digital","SP","12","2023-02-28","2024-12-20","12163.73","Fiel"
2076,"CLI02076","PJ - Frota Pequena","Indicação","SC","12","2023-02-24","2024-11-12","18221.93","Fiel"
3147,"CLI03147","PJ - Frota Pequena","Digital","SP","12","2023-02-01","2024-12-25","11539.52","Fiel"
389,"CLI00389","PF - Premium","Recall","PR","12","2023-03-18","2024-09-16","23458.51","Fiel"
3078,"CLI03078","PJ - Frota Grande","Digital","SP","12","2023-01-16","2024-08-18","19868.85","Fiel"
2106,"CLI02106","PF - Premium","Recall","DF","12","2023-01-26","2024-10-14","13815.59","Fiel"
298,"CLI00298","PJ - Frota Pequena","Showroom","SP","12","2023-01-04","2024-12-12","13548.86","Fiel"
1558,"CLI01558","PF - Varejo","Digital","PR","12","2023-02-03","2024-12-14","11009.77","Fiel"
3397,"CLI03397","PF - Varejo","Recall","SC","12","2023-01-24","2024-11-04","14572.62","Fiel"
77,"CLI00077","PF - Varejo","Digital","CE","12","2023-03-11","2024-12-27","11328.41","Fiel"
2242,"CLI02242","PF - Premium","Digital","SP","12","2023-01-03","2024-09-29","8284.23","Fiel"
3027,"CLI03027","PF - Varejo","Recall","SP","12","2023-03-23","2024-12-17","14081.93","Fiel"
330,"CLI00330","PF - Varejo","Fidelização","BA","12","2023-06-11","2024-12-08","7614.28","Fiel"
2283,"CLI02283","PF - Varejo","Indicação","SP","12","2023-03-28","2024-12-03","9758.70","Fiel"
575,"CLI00575","PJ - Frota Pequena","Recall","RJ","12","2023-01-26","2024-12-30","15961.45","Fiel"
219,"CLI00219","PJ - Frota Pequena","Indicação","SP","12","2023-04-01","2024-10-17","18434.11","Fiel"
3524,"CLI03524","PF - Varejo","CRM Ativo","SP","12","2023-01-17","2024-11-29","16820.43","Fiel"
2420,"CLI02420","PF - Varejo","Showroom","GO","12","2023-09-27","2024-12-08","21698.09","Fiel"
129,"CLI00129","PF - Varejo","Digital","SP","12","2023-02-04","2024-12-25","16674.44","Fiel"
2266,"CLI02266","PF - Varejo","Digital","ES","12","2023-02-26","2024-08-30","16628.57","Fiel"
453,"CLI00453","PJ - Frota Pequena","Fidelização","RS","12","2023-02-27","2024-12-24","16339.55","Fiel"
1580,"CLI01580","PF - Premium","Showroom","GO","12","2023-01-31","2024-09-25","10183.00","Fiel"
398,"CLI00398","PF - Varejo","Digital","RS","12","2023-01-24","2024-12-16","17038.44","Fiel"
1968,"CLI01968","PF - Varejo","Digital","DF","12","2023-01-01","2024-12-24","17506.45","Fiel"
424,"CLI00424","PF - Premium","CRM Ativo","SP","12","2023-01-15","2024-11-24","16185.83","Fiel"
3400,"CLI03400","PF - Varejo","Fidelização","PR","12","2023-02-09","2024-08-17","12527.10","Fiel"
3643,"CLI03643","PF - Premium","Digital","GO","12","2023-03-23","2024-12-29","14569.75","Fiel"
1439,"CLI01439","PF - Varejo","Fidelização","SP","12","2023-06-05","2024-12-07","19355.68","Fiel"
3599,"CLI03599","PF - Premium","CRM Ativo","SP","12","2023-04-07","2024-10-27","12620.96","Fiel"
1824,"CLI01824","PF - Premium","Digital","PE","12","2023-02-04","2024-11-27","17029.19","Fiel"
2369,"CLI02369","PF - Varejo","CRM Ativo","SP","12","2023-01-23","2024-10-16","17308.15","Fiel"
80,"CLI00080","PF - Varejo","Indicação","MG","12","2023-01-13","2024-09-05","11528.77","Fiel"
1686,"CLI01686","PJ - Frota Grande","CRM Ativo","SP","12","2023-02-19","2024-09-14","10484.20","Fiel"
1874,"CLI01874","PF - Varejo","Showroom","SP","12","2023-01-06","2024-10-29","13522.53","Fiel"
1932,"CLI01932","PF - Premium","Indicação","RS","12","2023-03-05","2024-12-11","14026.37","Fiel"
2391,"CLI02391","PJ - Frota Pequena","Indicação","RJ","12","2023-01-27","2024-12-31","10904.66","Fiel"
2343,"CLI02343","PJ - Frota Pequena","Digital","SP","12","2023-02-02","2024-10-17","10243.09","Fiel"
335,"CLI00335","PF - Varejo","Recall","RS","12","2023-04-11","2024-12-24","12214.19","Fiel"
3155,"CLI03155","PF - Premium","Showroom","ES","12","2023-02-04","2024-09-26","13760.20","Fiel"
2381,"CLI02381","PF - Varejo","Indicação","SP","12","2023-02-18","2024-11-28","16745.99","Fiel"
161,"CLI00161","PF - Varejo","Indicação","SP","12","2023-01-25","2024-12-21","10666.43","Fiel"
151,"CLI00151","PF - Varejo","Digital","BA","12","2023-01-31","2024-12-22","5765.79","Fiel"
3003,"CLI03003","PF - Premium","Fidelização","PR","12","2023-03-17","2024-07-08","14788.55","Fiel"
2816,"CLI02816","PF - Varejo","CRM Ativo","RJ","12","2023-02-11","2024-12-07","5340.32","Fiel"
20,"CLI00020","PF - Premium","Digital","MG","12","2023-02-08","2024-11-13","14678.34","Fiel"
162,"CLI00162","PF - Varejo","Indicação","SC","12","2023-02-17","2024-12-29","12969.60","Fiel"
2987,"CLI02987","PJ - Frota Pequena","Indicação","RJ","12","2023-03-20","2024-12-08","22645.08","Fiel"
3822,"CLI03822","PF - Varejo","CRM Ativo","BA","12","2023-05-07","2024-12-30","14557.82","Fiel"
2471,"CLI02471","PF - Varejo","Fidelização","SP","12","2023-03-05","2024-08-28","30295.73","Fiel"
1266,"CLI01266","PF - Premium","Showroom","SP","12","2023-02-03","2024-05-21","12296.84","Fiel"
2426,"CLI02426","PJ - Frota Grande","Fidelização","SP","12","2023-02-02","2024-12-30","12274.83","Fiel"
1668,"CLI01668","PJ - Frota Pequena","Recall","BA","12","2023-03-02","2024-12-04","15514.73","Fiel"
2789,"CLI02789","PJ - Frota Grande","Recall","SP","12","2023-04-12","2024-12-30","16206.71","Fiel"
3783,"CLI03783","PF - Varejo","Digital","RS","12","2023-01-06","2024-12-26","21216.50","Fiel"
1675,"CLI01675","PF - Varejo","Fidelização","MG","12","2023-01-17","2024-11-03","13999.65","Fiel"
2413,"CLI02413","PF - Varejo","Digital","PR","11","2023-04-25","2024-12-26","12619.17","Fiel"
1161,"CLI01161","PJ - Frota Pequena","Indicação","GO","11","2023-03-14","2024-11-27","16737.76","Fiel"
1826,"CLI01826","PF - Varejo","Indicação","BA","11","2023-02-03","2024-10-07","17310.97","Fiel"
1133,"CLI01133","PJ - Frota Pequena","Digital","PR","11","2023-02-08","2024-12-13","20536.02","Fiel"
1842,"CLI01842","PF - Varejo","Recall","SP","11","2023-02-12","2024-12-23","10064.97","Fiel"
3760,"CLI03760","PF - Varejo","Indicação","SP","11","2023-02-21","2024-10-15","10509.05","Fiel"
961,"CLI00961","PF - Varejo","Digital","RS","11","2023-02-26","2024-11-30","25105.32","Fiel"
301,"CLI00301","PF - Premium","Digital","SP","11","2023-01-24","2024-11-20","13004.32","Fiel"
2116,"CLI02116","PJ - Frota Pequena","Indicação","MG","11","2023-03-20","2024-12-19","11604.93","Fiel"
2085,"CLI02085","PF - Varejo","Indicação","MG","11","2023-03-23","2024-11-27","12826.67","Fiel"
111,"CLI00111","PF - Varejo","Digital","DF","11","2023-01-07","2024-12-21","11807.71","Fiel"
1441,"CLI01441","PJ - Frota Grande","Digital","GO","11","2023-01-18","2024-11-09","8898.93","Fiel"
3239,"CLI03239","PF - Varejo","Indicação","BA","11","2023-01-09","2024-08-24","11435.41","Fiel"
1607,"CLI01607","PF - Premium","Fidelização","ES","11","2023-02-26","2024-12-08","5969.53","Fiel"
2672,"CLI02672","PF - Varejo","Recall","RJ","11","2023-07-18","2024-11-22","16949.62","Fiel"
3670,"CLI03670","PF - Varejo","Digital","PR","11","2023-01-04","2024-10-02","12465.96","Fiel"
2747,"CLI02747","PF - Varejo","Digital","RS","11","2023-02-10","2024-12-14","15249.10","Fiel"
3905,"CLI03905","PF - Varejo","Fidelização","RJ","11","2023-01-08","2024-10-07","6735.96","Fiel"
838,"CLI00838","PF - Premium","Fidelização","CE","11","2023-01-26","2024-12-16","9004.46","Fiel"
2895,"CLI02895","PJ - Frota Pequena","CRM Ativo","GO","11","2023-01-30","2024-12-13","10161.95","Fiel"
2361,"CLI02361","PJ - Frota Grande","CRM Ativo","SC","11","2023-01-13","2024-11-27","23802.61","Fiel"
1157,"CLI01157","PF - Varejo","Indicação","BA","11","2023-02-17","2024-11-06","9885.87","Fiel"
2638,"CLI02638","PF - Varejo","Fidelização","SC","11","2023-05-04","2024-12-26","7087.26","Fiel"
784,"CLI00784","PF - Varejo","Fidelização","RJ","11","2023-06-12","2024-08-30","20039.21","Fiel"
2315,"CLI02315","PJ - Frota Grande","Showroom","SP","11","2023-01-07","2024-12-25","9945.83","Fiel"
1727,"CLI01727","PF - Premium","Digital","SP","11","2023-03-20","2024-10-13","6697.52","Fiel"
2063,"CLI02063","PF - Premium","Digital","BA","11","2023-02-01","2024-08-11","11759.70","Fiel"
442,"CLI00442","PF - Premium","Indicação","BA","11","2023-03-13","2024-12-06","6313.47","Fiel"
3506,"CLI03506","PF - Varejo","Indicação","SP","11","2023-04-02","2024-12-06","13597.97","Fiel"
3853,"CLI03853","PJ - Frota Pequena","Digital","SP","11","2023-01-07","2024-12-31","20950.74","Fiel"
865,"CLI00865","PF - Premium","Digital","PE","11","2023-01-19","2024-12-08","14076.50","Fiel"
3322,"CLI03322","PF - Premium","Digital","MG","11","2023-01-03","2024-11-18","9902.83","Fiel"
141,"CLI00141","PF - Varejo","Indicação","SP","11","2023-03-14","2024-09-02","10685.01","Fiel"
3451,"CLI03451","PF - Varejo","Digital","SP","11","2023-05-20","2024-10-19","11091.53","Fiel"
