"categoria_servico","nome_servico","complexidade","qtd_os","ticket_medio","receita_total","margem_total","margem_pct","csat_medio"
"Sinistro","Funilaria/Pintura","Alto","2074","4124.10","8553373.98","1391400.58","36.7","4.23"
"Manutenção Corretiva","Reparo de Motor","Alto","2089","3818.90","7977685.83","1294122.73","36.6","4.20"
"Manutenção Corretiva","Reparo Elétrico","Alto","2173","1455.49","3162771.49","517148.75","36.6","4.19"
"Acessórios","Instalação de Acessórios","Médio","2083","1510.46","3146286.24","511689.10","36.4","4.20"
"Manutenção Preventiva","Revisão Programada","Baixo","2191","901.99","1976261.78","323263.63","36.6","4.22"
"Manutenção Corretiva","Troca de Freios","Médio","2186","901.50","1970689.14","319577.21","36.5","4.18"
"Manutenção Corretiva","Ar Condicionado","Médio","2150","770.81","1657231.39","270986.04","36.5","4.22"
"Inspeção","Revisão Pré-Venda","Baixo","2162","538.63","1164517.36","187754.29","36.4","4.23"
"Diagnóstico","Diagnóstico Eletrônico","Médio","2181","450.15","981786.82","159386.84","36.4","4.23"
"Manutenção Preventiva","Troca de Óleo","Baixo","2148","332.13","713414.92","115966.91","36.5","4.22"
"Manutenção Preventiva","Alinhamento/Balanceamento","Baixo","2109","234.77","495132.40","80778.94","36.6","4.23"
"Recall","Recall","Baixo","2176","0.00","0.00","0.00",NULL,"4.18"
