"regiao","canal","qtd_os","csat_medio","notas_positivas","notas_criticas","pct_notas_positivas","status_qualidade"
"Centro-Oeste","Dealer Autorizado","1016","4.26","854","70","84.1","Na meta"
"Sul","Dealer Oficial","2080","4.25","1729","144","83.1","Na meta"
"Nordeste","Dealer Autorizado","2066","4.24","1718","163","83.2","Na meta"
"Norte","Dealer Oficial","1012","4.24","838","83","82.8","Na meta"
"Norte","Dealer Autorizado","1102","4.24","913","89","82.8","Na meta"
"Sudeste","Dealer Oficial","5162","4.22","4231","412","82.0","Na meta"
"Sudeste","Multimarca","3081","4.21","2526","236","82.0","Na meta"
"Centro-Oeste","Multimarca","2026","4.20","1658","173","81.8","Na meta"
"Nordeste","Dealer Oficial","3042","4.19","2473","237","81.3","Na meta"
"Norte","Multimarca","1022","4.19","847","76","82.9","Na meta"
"Sul","Multimarca","3128","4.17","2517","281","80.5","Na meta"
"Centro-Oeste","Dealer Oficial","985","4.14","770","100","78.2","Na meta"
